created,id,name,updated,account,created_by,updated_by,list_filters,type,pending
"2025-07-08 08:19:30.495Z",yv4e33u7dsoq8v7,"Reviews 08072025.csv","2025-07-08 08:19:30.841Z",5v9s66mtgaa4ffz,45ab54xcwx73nnv,"","",static,0
"2025-07-08 12:44:05.566Z",9oook69n04qqco9,"Rosehills zs.csv","2025-07-08 12:44:10.164Z",c8hfn530plg46m1,v5jtav4079ctcba,"","",static,0
"2025-07-08 13:01:26.101Z",kx576qf18798duu,"sample (5).csv","2025-07-08 13:01:30.959Z",1z5s72223hv6zrd,v5jtav4079ctcba,"","",static,0
"2025-07-08 13:02:51.582Z",57g8anga94e498x,"sample (5).csv","2025-07-08 13:02:57.435Z",tl92jjb9tupxinm,v5jtav4079ctcba,"","",static,0
"2025-07-08 13:06:32.361Z",52bcl62uxyxcs9u,"Rosehills zs 2.csv","2025-07-08 13:06:36.807Z",4yq3r24a7wtw0hv,v5jtav4079ctcba,"","",static,0
"2025-07-08 21:04:26.877Z",xmdtxstwov40e2v,"PSA Non Converted Leads 01 May to 03 Jul 2025.csv","2025-07-08 21:04:50.465Z",22y5xcxnh2kp2sh,1s3hfpxxuv2fsnu,"","",static,0
"2025-07-09 06:51:53.091Z",070xi9v7i64n907,"sample (5).csv","2025-07-09 06:52:02.801Z",oknjk5h53v868u9,v5jtav4079ctcba,"","",static,0
"2025-07-09 12:20:37.064Z",78npe0ihc1a0a1b,"Campaign - DPS Mulk 09 july.csv","2025-07-09 12:20:37.243Z",tl92jjb9tupxinm,v5jtav4079ctcba,"","",static,0
"2025-07-09 13:20:11.094Z",v3m3rhh1868u106,"Campaign - DPS Mulk 09 july.csv","2025-07-09 13:20:11.263Z",tl92jjb9tupxinm,v5jtav4079ctcba,"","",static,0
"2025-07-09 18:08:16.185Z",32wb5efy5w70dsr,"Talea beyond zs.csv","2025-07-09 18:08:20.795Z",9zg7u896b9z7f0u,v5jtav4079ctcba,"","",static,0
